day,daily_total_gdp,dam_storage,downstream_storage,upstream_storage,river_discharge_downstream,houses_damaged_by_inundation,financial_damage_by_innundation,financial_damage_by_flood
161,4890956202.010445,41663847.2569098,4318530.0,5499532.897295276,5387953.436700065,0.0,0.0,0.0
162,4894436712.62221,41746340.25036923,0.0,2694771.119674685,1765414.9874957788,0.0,0.0,0.0
163,4898007921.772355,41786761.81716435,0.0,1342891.8478904162,788837.8445629189,0.0,0.0,0.0
164,4901677067.350075,41806905.194882706,7197550.0,6961417.005466304,7804247.837151978,0.0,0.0,0.0
165,4905451061.111389,41911326.4499647,0.0,3411094.332678489,2386513.928199313,0.0,0.0,0.0
166,4909336522.067637,41962492.86495488,0.0,1671436.2230124595,1030286.5212161167,0.0,0.0,0.0
167,4913339806.206912,41987564.40830007,0.0,830962.2221404681,468908.66365464916,0.0,0.0,0.0
168,4917467032.914738,42000028.84163218,0.0,407171.48884882935,217245.7678666389,0.0,0.0,0.0
169,4921724108.4235,42006136.41396491,0.0,199514.02953592638,102694.58305741128,0.0,0.0,0.0
170,4926116746.587087,42009129.124407955,0.0,97761.87447260393,49193.592738959,0.0,0.0,0.0
171,4930650487.24743,42010595.55252504,10076570.0,8873336.068126304,10445481.718127182,0.0,0.0,0.0
172,4675212790.323541,42143695.59354694,63338440.0,59905394.347357176,68664893.375994,9494.304156990136,260117922.1093188,0.0
173,4851971385.5663185,43042276.5087573,26917059.184948124,40668140.20460613,41158239.22696577,0.0,0.0,0.0
174,4348834533.655585,43652298.61182639,81488657.75548443,88410790.10230306,96815714.73643133,18583.655289312424,509141240.80308014,0.0
175,4701231403.940792,44978460.463360935,27318501.62600573,50502614.63048553,52992424.52839452,0.0,0.0,0.0
176,4708378019.321874,41238153.63648213,3834785.8965118974,25206681.796014648,19740574.15390465,0.0,0.0,0.0
177,4715513205.562462,41616253.86342235,0.0,12589657.219600117,8168844.501531726,0.0,0.0,0.0
178,4722660012.211256,41805098.72171635,0.0,6276687.184506674,3663051.5094934376,0.0,0.0,0.0
179,4729839683.3151245,41899249.02948395,0.0,3124889.72697232,1701228.9850838855,0.0,0.0,0.0
180,4737071842.602424,41946122.37538853,4318530.0,5344484.86348616,5279792.39904148,0.0,0.0,0.0
181,3170698724.8939724,42026289.64834083,161225120.0,143868402.4317431,168486817.3514706,57439.17161562102,1573675934.6745484,0.0
182,4269596673.5130243,44184315.68481698,44027867.325224474,71912669.66614628,73148659.10231574,0.0,0.0,0.0
183,4278096801.2017803,45263005.72980917,8855685.61506594,35920565.549890086,35655528.60021979,0.0,0.0,0.0
184,4286614123.3647094,41275513.64007661,0.0,17933415.166400988,12367248.195613839,0.0,0.0,0.0
185,4174847586.175377,41544514.86757262,24471670.0,30398267.583200492,30758802.329825044,0.0,0.0,0.0
186,4147153324.08044,42000488.881320626,3701381.0341508426,15785822.156715184,12363032.528674126,0.0,0.0,0.0
187,4203919629.2966013,42237276.21367136,0.0,7845755.267043391,5008557.137608681,0.0,0.0,0.0
188,4216631693.887494,42354962.54267701,5038285.0,8312384.354639131,7463206.161927769,0.0,0.0,0.0
189,4330237217.915733,42479648.30799659,0.0,4144865.0702055343,2622390.9840280213,0.0,0.0,0.0
190,4339305894.459642,42541821.284049675,35267995.0,32952634.183333583,37660497.006410286,0.0,0.0,0.0
191,4340455689.342062,43036110.79679968,6257205.819312077,16472822.02330182,14699812.919205472,0.0,0.0,0.0
192,4289244412.5571656,43283203.12714921,0.0,8229708.307107605,5691696.509352811,0.0,0.0,0.0
193,4209840597.570427,43406648.751755826,0.0,4101437.918297599,2499283.7844960224,0.0,0.0,0.0
194,4203346874.210958,43468170.32053029,0.0,2009704.5799658236,1127732.6395199304,0.0,0.0,0.0
195,4168728338.858429,43498315.889229774,0.0,984755.2441832535,523514.06889982976,0.0,0.0,0.0
196,4199090189.833519,43513087.21789252,0.0,482530.0696497942,247799.41642143572,0.0,0.0,0.0
197,4229719897.1665044,43520325.168937266,0.0,236439.73412839917,118804.97084465926,0.0,0.0,0.0
198,4240363721.737312,43523871.764949195,0.0,115855.46972291559,57429.41275332976,0.0,0.0,0.0
199,4279656331.9985504,43525609.59699504,0.0,56769.18016422864,27904.9053609656,0.0,0.0,0.0
200,3962994142.1035523,43526461.134697504,66937215.0,58649436.89828047,69241398.45156042,9895.009329236857,271096146.0064892,0.0
201,4164206349.6788116,44406202.688171715,15689955.192379221,29246764.70973294,28723413.4471784,0.0,0.0,0.0
202,4225062120.898025,44844904.15881771,326226.9119722266,14556867.993909057,15284806.858182196,0.0,0.0,0.0
203,4213803625.9603066,40578766.76284458,0.0,7248588.164822579,4621324.553916699,0.0,0.0,0.0
204,4186624485.8552938,40687495.58531692,0.0,3576975.177164965,2066560.7491183323,0.0,0.0,0.0
205,4179805309.235889,40741150.21297439,0.0,1752717.8368108328,949586.4873112512,0.0,0.0,0.0
206,4149021843.561613,40767440.98052655,0.0,858831.7400373081,446388.89485549356,0.0,0.0,0.0
207,4150795501.2860136,40780323.45662711,0.0,420827.552618281,213058.01330108603,0.0,0.0,0.0
208,4253935178.1856723,40786635.86991638,0.0,206205.50078295768,102696.6629641004,0.0,0.0,0.0
209,4470773880.347374,40789728.952428125,0.0,101040.69538364926,49810.83578637966,0.0,0.0,0.0
210,4352286602.936668,40791244.56285888,15114855.0,13286649.940737989,15656337.050815517,0.0,0.0,0.0
211,4335242932.334593,40990544.31196995,156735.89129233174,6580137.482104253,4781292.673334006,0.0,0.0,0.0
